
BoxSetEpisodeTitle                                                    BoxSetEpisodeMediaUrl
Monday 26th November Clyde 1 Superscoreboard                          https://aod.planetradio.co.uk/superscoreboard/20181126203416.m4a?awCollectionId=superscoreboard&awEpisodeId=12979?awCollectionId=13&awEpisodeId=222417
Saturday 24th November Clyde 1 Superscoreboard                        https://aod.planetradio.co.uk/superscoreboard/20181124182300.m4a?awCollectionId=superscoreboard&awEpisodeId=12955?awCollectionId=13&awEpisodeId=222418
Friday 23rd November Clyde 1 Superscoreboard                          https://aod.planetradio.co.uk/superscoreboard/20181123204358.m4a?awCollectionId=superscoreboard&awEpisodeId=12954?awCollectionId=13&awEpisodeId=222419
Thursday 22nd November Clyde 1 Superscoreboard                        https://aod.planetradio.co.uk/superscoreboard/20181122202732.m4a?awCollectionId=superscoreboard&awEpisodeId=12919?awCollectionId=13&awEpisodeId=222420
Wednesday 21st November Clyde 1 Superscoreboard                       https://aod.planetradio.co.uk/superscoreboard/20181121202133.m4a?awCollectionId=superscoreboard&awEpisodeId=12878?awCollectionId=13&awEpisodeId=222421
Tuesday 20th November Clyde 1 Superscoreboard                         https://aod.planetradio.co.uk/superscoreboard/20181120202613.m4a?awCollectionId=superscoreboard&awEpisodeId=12858?awCollectionId=13&awEpisodeId=222422
Monday 19th November Clyde 1 Superscoreboard                          https://aod.planetradio.co.uk/superscoreboard/20181119202722.m4a?awCollectionId=superscoreboard&awEpisodeId=12828?awCollectionId=13&awEpisodeId=222423
Friday 16th November Clyde 1 Superscoreboard                          https://aod.planetradio.co.uk/superscoreboard/20181116200830.m4a?awCollectionId=superscoreboard&awEpisodeId=12771?awCollectionId=13&awEpisodeId=222424
Thursday 15th November Clyde 1 Superscoreboard                        https://aod.planetradio.co.uk/superscoreboard/20181115201022.m4a?awCollectionId=superscoreboard&awEpisodeId=12737?awCollectionId=13&awEpisodeId=222425
Wednesday 14th November Clyde 1 Superscoreboard                       https://aod.planetradio.co.uk/superscoreboard/20181114200936.m4a?awCollectionId=superscoreboard&awEpisodeId=12714?awCollectionId=13&awEpisodeId=222426
Tuesday 13th November Clyde 1 Superscoreboard                         https://aod.planetradio.co.uk/superscoreboard/20181113200922.m4a?awCollectionId=superscoreboard&awEpisodeId=12682?awCollectionId=13&awEpisodeId=222427
Monday 12th November Clyde 1 Superscoreboard                          https://aod.planetradio.co.uk/superscoreboard/20181112201955.m4a?awCollectionId=superscoreboard&awEpisodeId=12658?awCollectionId=13&awEpisodeId=222428
Sunday 11th November Clyde 2 Superscoreboard                          https://aod.planetradio.co.uk/superscoreboard/20181111181732.m4a?awCollectionId=superscoreboard&awEpisodeId=12632?awCollectionId=13&awEpisodeId=222429
Saturday 10th November Clyde 1 Superscoreboard Openline               https://aod.planetradio.co.uk/superscoreboard/20181110193150.m4a?awCollectionId=superscoreboard&awEpisodeId=12630?awCollectionId=13&awEpisodeId=222430
Saturday 10th November Clyde 1 Superscoreboard Build-Up               https://aod.planetradio.co.uk/superscoreboard/20181110182502.m4a?awCollectionId=superscoreboard&awEpisodeId=12629?awCollectionId=13&awEpisodeId=222431
Friday 9th November Clyde 1 Superscoreboard                           https://aod.planetradio.co.uk/superscoreboard/20181109202014.m4a?awCollectionId=superscoreboard&awEpisodeId=12627?awCollectionId=13&awEpisodeId=222432
Thursday 8th November Clyde 1 Superscoreboard                         https://aod.planetradio.co.uk/superscoreboard/20181108200938.m4a?awCollectionId=superscoreboard&awEpisodeId=12595?awCollectionId=13&awEpisodeId=222433
Wednesday 7th November Clyde 1 Superscoreboard                        https://aod.planetradio.co.uk/superscoreboard/20181107201407.m4a?awCollectionId=superscoreboard&awEpisodeId=12570?awCollectionId=13&awEpisodeId=222434
Tuesday 6th November Clyde 1 Superscoreboard                          https://aod.planetradio.co.uk/superscoreboard/20181106201034.m4a?awCollectionId=superscoreboard&awEpisodeId=12534?awCollectionId=13&awEpisodeId=222435
Monday 5th November Clyde 1 Superscoreboard                           https://aod.planetradio.co.uk/superscoreboard/20181105212430.m4a?awCollectionId=superscoreboard&awEpisodeId=12504?awCollectionId=13&awEpisodeId=222436
Saturday 3rd November Clyde 1 Superscoreboard Openline                https://aod.planetradio.co.uk/superscoreboard/20181103180903.m4a?awCollectionId=superscoreboard&awEpisodeId=12475?awCollectionId=13&awEpisodeId=222437
Saturday 3rd November Clyde 1 Superscoreboard                         https://aod.planetradio.co.uk/superscoreboard/20181103173648.m4a?awCollectionId=superscoreboard&awEpisodeId=12474?awCollectionId=13&awEpisodeId=222438
Friday 2nd November Clyde 1 Superscoreboard                           https://aod.planetradio.co.uk/superscoreboard/20181102201256.m4a?awCollectionId=superscoreboard&awEpisodeId=12472?awCollectionId=13&awEpisodeId=222439
Thursday 1st November Clyde 1 Superscoreboard                         https://aod.planetradio.co.uk/superscoreboard/20181101200858.m4a?awCollectionId=superscoreboard&awEpisodeId=12434?awCollectionId=13&awEpisodeId=222440
Wednesday 31st October Clyde 1 Superscoreboard                        https://aod.planetradio.co.uk/superscoreboard/20181031202316.m4a?awCollectionId=superscoreboard&awEpisodeId=12405?awCollectionId=13&awEpisodeId=222441
Tuesday 30th October Clyde 1 Superscoreboard                          https://aod.planetradio.co.uk/superscoreboard/20181030201416.m4a?awCollectionId=superscoreboard&awEpisodeId=12378?awCollectionId=13&awEpisodeId=222442
Monday 29th October Clyde 1 Superscoreboard                           https://aod.planetradio.co.uk/superscoreboard/20181029202805.m4a?awCollectionId=superscoreboard&awEpisodeId=12348?awCollectionId=13&awEpisodeId=222443
Sunday 28th October Clyde 1 Superscoreboard                           https://aod.planetradio.co.uk/superscoreboard/20181028201327.m4a?awCollectionId=superscoreboard&awEpisodeId=12301?awCollectionId=13&awEpisodeId=222444
Saturday 27th October Clyde 1 Superscoreboard Openline                https://aod.planetradio.co.uk/superscoreboard/20181027190602.m4a?awCollectionId=superscoreboard&awEpisodeId=12300?awCollectionId=13&awEpisodeId=222445
Saturday 27th October Clyde 1 Superscoreboard                         https://aod.planetradio.co.uk/superscoreboard/20181027185628.m4a?awCollectionId=superscoreboard&awEpisodeId=12299?awCollectionId=13&awEpisodeId=222446
Friday 26th October Clyde 1 Superscoreboard                           https://aod.planetradio.co.uk/superscoreboard/20181026191441.m4a?awCollectionId=superscoreboard&awEpisodeId=12293?awCollectionId=13&awEpisodeId=222447
Thursday 25th October Clyde 1 Superscoreboard                         https://aod.planetradio.co.uk/superscoreboard/20181025192220.m4a?awCollectionId=superscoreboard&awEpisodeId=12251?awCollectionId=13&awEpisodeId=222448
wednesday 24th October Clyde 1 Superscoreboard                        https://aod.planetradio.co.uk/superscoreboard/20181024191800.m4a?awCollectionId=superscoreboard&awEpisodeId=12221?awCollectionId=13&awEpisodeId=222449
Tuesday 23rd October Clyde 1 Superscoreboard                          https://aod.planetradio.co.uk/superscoreboard/20181023190916.m4a?awCollectionId=superscoreboard&awEpisodeId=12193?awCollectionId=13&awEpisodeId=222450
Monday 22nd October Clyde 1 Superscoreboard                           https://aod.planetradio.co.uk/superscoreboard/20181022192549.m4a?awCollectionId=superscoreboard&awEpisodeId=12168?awCollectionId=13&awEpisodeId=222451
Saturday 20th October Clyde 1 Superscoreboard Openline                https://aod.planetradio.co.uk/superscoreboard/20181020170807.m4a?awCollectionId=superscoreboard&awEpisodeId=12146?awCollectionId=13&awEpisodeId=222452
Saturday 20th October Clyde 1 Superscoreboard Build-Up                https://aod.planetradio.co.uk/superscoreboard/20181020163800.m4a?awCollectionId=superscoreboard&awEpisodeId=12145?awCollectionId=13&awEpisodeId=222453
Friday 19th October Clyde 1 Superscoreboard                           https://aod.planetradio.co.uk/superscoreboard/20181019190423.m4a?awCollectionId=superscoreboard&awEpisodeId=12144?awCollectionId=13&awEpisodeId=222454
Thursday 18th October Clyde 1 Superscoreboard                         https://aod.planetradio.co.uk/superscoreboard/20181018192209.m4a?awCollectionId=superscoreboard&awEpisodeId=12119?awCollectionId=13&awEpisodeId=222455
Wednesday 17th October Clyde 1 Superscoreboard                        https://aod.planetradio.co.uk/superscoreboard/20181017192011.m4a?awCollectionId=superscoreboard&awEpisodeId=12090?awCollectionId=13&awEpisodeId=222456
Tuesday 16th October Clyde 1 Superscoreboard                          https://aod.planetradio.co.uk/superscoreboard/20181016192730.m4a?awCollectionId=superscoreboard&awEpisodeId=12064?awCollectionId=13&awEpisodeId=222457
Monday 15th of October Clyde 1 Superscoreboard                        https://aod.planetradio.co.uk/superscoreboard/20181015194041.m4a?awCollectionId=superscoreboard&awEpisodeId=12021?awCollectionId=13&awEpisodeId=222458
Friday 12th October Clyde 1 Superscoreboard                           https://aod.planetradio.co.uk/superscoreboard/20181012190858.m4a?awCollectionId=superscoreboard&awEpisodeId=11999?awCollectionId=13&awEpisodeId=222459
Thursday 11th October Clyde 1 Superscoreboard                         https://aod.planetradio.co.uk/superscoreboard/20181011191630.m4a?awCollectionId=superscoreboard&awEpisodeId=11962?awCollectionId=13&awEpisodeId=222460
Wednesday 10th October Clyde 1 Superscoreboard                        https://aod.planetradio.co.uk/superscoreboard/20181010191530.m4a?awCollectionId=superscoreboard&awEpisodeId=11934?awCollectionId=13&awEpisodeId=222461
Tuesday 9th October Clyde 1 Superscoreboard                           https://aod.planetradio.co.uk/superscoreboard/20181009191835.m4a?awCollectionId=superscoreboard&awEpisodeId=11906?awCollectionId=13&awEpisodeId=222462
Monday 8th October Clyde 1 Superscoreboard                            https://aod.planetradio.co.uk/superscoreboard/20181008191225.m4a?awCollectionId=superscoreboard&awEpisodeId=11874?awCollectionId=13&awEpisodeId=222463
Sunday 7th October Clyde 1 Superscoreboard Openline                   https://aod.planetradio.co.uk/superscoreboard/20181007171135.m4a?awCollectionId=superscoreboard&awEpisodeId=11857?awCollectionId=13&awEpisodeId=222464
Saturday 6th October Clyde 1 Superscoreboard Openline                 https://aod.planetradio.co.uk/superscoreboard/20181006170947.m4a?awCollectionId=superscoreboard&awEpisodeId=11855?awCollectionId=13&awEpisodeId=222465
Friday 5th October Clyde 1 Superscoreboard                            https://aod.planetradio.co.uk/superscoreboard/20181005190424.m4a?awCollectionId=superscoreboard&awEpisodeId=11846?awCollectionId=13&awEpisodeId=222466
Thursday 4th October Clyde 1 Superscoreboard                          https://aod.planetradio.co.uk/superscoreboard/20181004191348.m4a?awCollectionId=superscoreboard&awEpisodeId=11814?awCollectionId=13&awEpisodeId=222467
Wednesday 3rd October Clyde 1 Superscoreboard                         https://aod.planetradio.co.uk/superscoreboard/20181003190940.m4a?awCollectionId=superscoreboard&awEpisodeId=11788?awCollectionId=13&awEpisodeId=222468
